,Unnamed: 0,title,clean_title,studio,domestic_gross,foreign_gross,year,genre_imdb,genre_tndb,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,TV Movie,Thriller,War,Western,Biography,Sport,Musical
1553,1553,Deliver Us From Evil,deliver us from evil,SGem,30600000.0,57400000.0,2014,"Horror,Mystery,Thriller","[53, 80, 27]",False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,True,False,False,False,False,False
1554,1554,A Million Ways to Die in the West,a million ways to die in the west,Uni.,43100000.0,44100000.0,2014,,"[35, 37]",,,,,,,,,,,,,,,,,,,,,,
1555,1555,Snowpiercer,snowpiercer,RTWC,4600000.0,82200000.0,2014,"Action,Drama,Sci-Fi","[28, 878, 18]",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
1556,1556,Step Up All In,step up all in,LG/S,14900000.0,71300000.0,2014,,"[10749, 18, 10402]",,,,,,,,,,,,,,,,,,,,,,
1557,1557,The Judge,the judge,WB,47100000.0,37300000.0,2014,"Crime,Drama",[18],False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1558,1558,Muppets Most Wanted,muppets most wanted,BV,51200000.0,29200000.0,2014,"Adventure,Comedy,Crime","[35, 12, 80, 10751]",False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1559,1559,If I Stay,if i stay,WB (NL),50500000.0,28400000.0,2014,"Drama,Fantasy,Music",[18],False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,,False,False,False,False,False,False
1560,1560,"I, Frankenstein",i frankenstein,LGF,19100000.0,52100000.0,2014,"Action,Fantasy,Horror","[27, 53]",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,False,False,False,False,False,False
1561,1561,The Attorney,the attorney,WGUSA,557000.0,70000000.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
1562,1562,Think Like a Man Too,think like a man too,SGem,65200000.0,5000000.0,2014,"Comedy,Romance","[35, 10749]",False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
1563,1563,Brick Mansions,brick mansions,Rela.,20400000.0,48500000.0,2014,"Action,Crime","[28, 80, 18]",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
