,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,international_gross,genre_ids
107,29,7-Nov-14,Big Hero 6,165,222,652,430,"[adventure, family, animation, action, comedy]"
108,30,26-Mar-10,How to Train Your Dragon,165,217,494,277,"[fantasy, adventure, animation, family]"
109,31,2-Nov-12,Wreck-It Ralph,165,189,496,307,"[family, animation, comedy, adventure]"
110,32,5-Nov-14,Interstellar,165,188,666,478,"[adventure, drama, sci-fi]"
111,33,24-Jun-16,Independence Day: Resurgence,165,103,384,281,"[action, adventure, sci-fi]"
112,35,17-Mar-17,Beauty and the Beast,160,504,1259,755,"[romance, family, animation, fantasy]"
113,35,17-Mar-17,Beauty and the Beast,160,504,1259,755,"[fantasy, romance]"
114,35,17-Mar-17,Beauty and the Beast,160,504,1259,755,"[family, fantasy, romance]"
115,86,13-Nov-91,Beauty and the Beast,20,376,608,232,"[romance, family, animation, fantasy]"
116,86,13-Nov-91,Beauty and the Beast,20,376,608,232,"[fantasy, romance]"
117,86,13-Nov-91,Beauty and the Beast,20,376,608,232,"[family, fantasy, romance]"
118,36,21-Dec-18,Aquaman,160,335,1146,811,"[action, adventure, fantasy]"
119,38,16-Jul-10,Inception,160,292,835,543,"[action, sci-fi, adventure]"
120,39,20-Nov-15,The Hunger Games: Mockingjay - Part 2,160,281,648,367,"[action, adventure, sci-fi]"
121,39,20-Nov-15,The Hunger Games: Mockingjay - Part 2,160,281,648,367,"[action, adventure, sci-fi]"
122,41,16-May-14,Godzilla,160,200,529,329,"[action, drama, sci-fi]"
123,74,19-May-98,Godzilla,125,136,376,240,"[action, drama, sci-fi]"
