,Unnamed: 0,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation
3302,108288,the night before,tt6353886,The Night Before,The Night Before,2015,86.0,Documentary,6,20-Nov-15,The Night Before,25000000,43035725,52427346,9391621,The Night Before,Sony,43000000.0,9300000.0,2015.0,52300000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3303,108309,the gift,tt6354904,The Gift,The Gift,2016,56.0,Documentary,28,19-Dec-00,The Gift,10000000,12008642,44567606,32558964,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3304,108309,the gift,tt6354904,The Gift,The Gift,2016,56.0,Documentary,63,7-Aug-15,The Gift,5000000,43787265,58978477,15191212,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3305,108352,payback,tt6358110,Payback,Payback,2015,80.0,"Action,Comedy,Crime",10,5-Feb-99,Payback,50000000,81526121,161626121,80100000,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
3306,108386,a bad moms christmas,tt6359956,A Bad Moms Christmas,A Bad Moms Christmas,2017,104.0,"Adventure,Comedy",40,1-Nov-17,A Bad Moms Christmas,28000000,72110659,127710550,55599891,A Bad Moms Christmas,STX,72100000.0,58400000.0,2017.0,130500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3307,108442,driven,tt6365896,Driven,Driven,2016,10.0,"Biography,Documentary",87,27-Apr-01,Driven,72000000,32616869,54616869,22000000,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3308,108589,stripes,tt6376046,Stripes,Stripes,2017,85.0,Drama,40,26-Jun-81,Stripes,10000000,85300000,85300000,0,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3309,108646,wild,tt6383452,Wild,Wild,2018,80.0,Documentary,33,3-Dec-14,Wild,15000000,37880356,52460543,14580187,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3310,108658,safe,tt6383726,Safe,Safe,2017,75.0,Thriller,78,27-Apr-12,Safe,33000000,17142080,41495213,24353133,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3311,108785,restless,tt6389692,Restless,Restless,2017,80.0,Drama,25,16-Sep-11,Restless,8000000,163753,2772511,2608758,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
